label,0C:80:63:2F:3F:42,0C:80:63:2F:3C:15,EC:3C:BB:87:4A:12,D2:32:4B:6B:49:E3,24:A4:3C:95:88:6A,36:A4:3C:95:88:6A,26:A4:3C:95:88:6A,0C:80:63:2F:3C:14,0C:80:63:2F:3C:38,0C:80:63:2F:3F:41,44:D9:E7:C7:70:70,24:A4:3C:A3:15:13,36:A4:3C:A3:15:13,0C:80:63:2F:3C:39,44:D9:E7:C7:0C:85,66:D9:E7:C7:0C:85,46:A4:3C:A3:15:13,82:C9:4E:7F:14:3B,66:D9:E7:C7:70:70,56:D9:E7:C7:70:70,7E:89:56:FE:B2:D8,36:A4:3C:7D:79:8D,56:D9:E7:C7:0C:85,56:A4:3C:95:88:6A,64:59:F8:06:5B:F8,76:D9:E7:C7:70:70,46:A4:3C:95:88:6A,66:D9:E7:C7:6F:84,56:D9:E7:C7:6F:84,76:D9:E7:C7:6F:84,46:D9:E7:C7:70:70,C4:6E:1F:0D:2A:46,66:D6:E6:E7:97:64
a,-54,-45,-61,-53,-78,-78,-78,-39,-78,-59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,-57,-45,-51,-46,-78,-78,-78,-39,-72,-51,-81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,-58,-45,-62,-47,-83,-82,-78,-46,-66,-54,-81,-88,-89,-71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,-51,-41,-57,-59,-83,-82,-78,-46,-66,-54,-81,-88,-89,-71,-89,-87,-89,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,-57,-43,-61,-59,-83,-82,-78,-42,-60,-52,-81,-88,-89,-71,-89,-87,-89,-58,-86,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,-65,-53,-61,-53,-83,-82,-,-45,-74,-44,-75,-88,-89,-71,-89,-87,-89,-55,-86,-77,-68,-,-,-,-,-,-,-,-,-,-,-,-
a,-56,-56,-57,-46,-83,-82,-,-42,-68,-48,-75,-88,-89,-69,-89,-87,-89,-55,-86,-77,-68,-87,-,-,-,-,-,-,-,-,-,-,-
a,-60,-54,-59,-59,-83,-82,-,-47,-70,-59,-75,-88,-89,-69,-83,-87,-89,-55,-86,-77,-68,-87,-81,-,-,-,-,-,-,-,-,-,-
a,-59,-54,-49,-59,-83,-82,-,-37,-70,-45,-76,-88,-89,-71,-78,-87,-89,-55,-86,-78,-68,-87,-81,-,-,-,-,-,-,-,-,-,-
a,-62,-49,-55,-55,-,-,-,-37,-71,-54,-76,-,-,-71,-78,-,-,-55,-83,-82,-68,-87,-81,-,-,-,-,-,-,-,-,-,-
a,-53,-49,-56,-46,-,-84,-,-48,-71,-55,-76,-,-,-71,-78,-,-,-60,-80,-81,-,-87,-81,-,-,-,-,-,-,-,-,-,-
a,-59,-53,-58,-55,-,-84,-,-43,-73,-53,-76,-,-,-68,-78,-,-,-60,-80,-81,-,-,-81,-,-,-,-,-,-,-,-,-,-
a,-58,-53,-62,-48,-,-84,-,-53,-70,-58,-76,-,-,-68,-78,-,-,-60,-80,-81,-,-85,-,-,-,-,-,-,-,-,-,-,-
a,-69,-49,-62,-58,-,-84,-,-47,-71,-54,-,-,-,-76,-,-,-,-60,-80,-81,-,-85,-,-,-,-,-,-,-,-,-,-,-
a,-60,-54,-61,-58,-,-84,-,-45,-72,-52,-81,-,-,-74,-,-,-,-60,-80,-81,-,-85,-,-,-,-,-,-,-,-,-,-,-
a,-57,-59,-53,-42,-,-,-,-43,-72,-57,-81,-,-,-72,-,-,-,-,-,-,-,-85,-,-,-,-,-,-,-,-,-,-,-
a,-56,-41,-53,-55,-79,-,-,-48,-72,-57,-81,-,-,-72,-,-,-,-42,-,-,-,-85,-,-,-,-,-,-,-,-,-,-,-
a,-60,-44,-47,-41,-79,-,-,-41,-68,-47,-81,-,-,-72,-,-,-,-50,-,-,-,-,-,-80,-,-,-,-,-,-,-,-,-
a,-58,-48,-45,-51,-79,-,-,-46,-70,-47,-78,-,-,-72,-,-,-,-50,-,-,-,-,-,-80,-,-,-,-,-,-,-,-,-
a,-65,-45,-54,-49,-79,-,-,-45,-66,-46,-78,-,-,-73,-,-,-,-44,-,-,-,-,-,-80,-,-,-,-,-,-,-,-,-
a,-55,-46,-54,-43,-79,-,-,-41,-71,-52,-78,-,-,-65,-,-,-,-42,-,-,-,-,-,-80,-,-,-,-,-,-,-,-,-
a,-61,-51,-47,-43,-,-,-,-48,-68,-52,-78,-,-,-65,-,-,-,-42,-81,-,-,-,-,-,-,-,-,-,-,-,-,-,-
b,-58,-44,-50,-64,-,-,-,-41,-70,-60,-,-,-,-63,-,-,-,-60,-81,-,-78,-,-,-,-,-,-,-,-,-,-,-,-
b,-66,-44,-54,-46,-,-,-,-33,-64,-59,-,-,-,-63,-,-,-,-58,-81,-,-78,-,-,-,-,-,-,-,-,-,-,-,-
b,-61,-41,-54,-58,-,-,-,-35,-75,-55,-,-,-,-70,-,-,-,-53,-81,-,-78,-,-,-,-,-,-,-,-,-,-,-,-
b,-59,-47,-62,-55,-,-,-,-42,-66,-57,-79,-,-,-66,-,-,-,-53,-,-,-77,-,-,-,-,-,-,-,-,-,-,-,-
b,-54,-42,-47,-48,-,-,-,-37,-61,-59,-79,-,-,-64,-,-,-,-53,-,-77,-77,-,-,-,-,-,-,-,-,-,-,-,-
b,-56,-42,-53,-62,-,-,-,-37,-66,-55,-79,-,-,-64,-,-,-,-53,-,-77,-77,-,-,-,-,-,-,-,-,-,-,-,-
b,-55,-40,-63,-62,-,-,-,-37,-69,-66,-79,-,-,-70,-,-,-,-53,-,-77,-77,-,-,-,-,-,-,-,-,-,-,-,-
b,-60,-49,-56,-54,-,-,-,-36,-65,-56,-76,-,-,-63,-,-,-,-53,-77,-77,-77,-,-,-86,-,-,-,-,-,-,-,-,-
b,-56,-47,-56,-54,-83,-,-,-38,-73,-63,-76,-,-,-63,-,-,-,-58,-77,-79,-77,-,-,-86,-91,-,-,-,-,-,-,-,-
b,-54,-44,-51,-49,-83,-,-,-30,-68,-50,-76,-,-,-63,-,-,-,-58,-77,-79,-,-,-,-86,-91,-,-,-,-,-,-,-,-
b,-48,-51,-66,-43,-83,-,-77,-44,-69,-50,-76,-,-,-63,-,-,-,-48,-77,-79,-84,-,-,-86,-91,-,-,-,-,-,-,-,-
b,-58,-38,-56,-54,-83,-,-77,-33,-73,-50,-76,-,-,-73,-,-,-,-56,-77,-79,-84,-,-,-86,-91,-,-,-,-,-,-,-,-
b,-46,-44,-54,-54,-83,-,-77,-42,-75,-57,-76,-,-,-73,-,-,-,-46,-77,-79,-84,-,-,-86,-91,-,-,-,-,-,-,-,-
b,-65,-46,-45,-59,-83,-,-77,-39,-75,-45,-76,-,-,-73,-,-,-,-46,-,-79,-84,-,-,-,-91,-76,-,-,-,-,-,-,-
b,-47,-55,-46,-51,-,-,-77,-38,-69,-49,-77,-,-,-73,-,-,-,-49,-75,-,-84,-,-,-,-,-76,-84,-,-,-,-,-,-
b,-51,-51,-49,-54,-,-,-,-33,-65,-53,-77,-,-,-69,-,-,-,-49,-75,-,-,-,-86,-,-,-76,-84,-,-,-,-,-,-
b,-53,-37,-51,-53,-,-,-,-39,-69,-47,-75,-,-,-69,-,-,-,-49,-75,-,-,-,-86,-,-86,-76,-84,-,-,-,-,-,-
b,-55,-43,-47,-54,-,-,-82,-39,-69,-51,-77,-,-,-72,-,-,-,-49,-75,-77,-,-,-86,-,-86,-76,-84,-,-,-,-,-,-
b,-63,-35,-47,-57,-,-,-82,-37,-62,-50,-77,-,-,-72,-,-,-,-60,-75,-77,-,-,-86,-,-86,-,-84,-,-,-,-,-,-
b,-60,-45,-69,-57,-81,-84,-82,-36,-61,-57,-77,-,-,-72,-,-,-,-56,-77,-77,-,-,-86,-85,-86,-,-84,-,-,-,-,-,-
b,-60,-56,-45,-57,-81,-84,-82,-38,-65,-59,-77,-,-,-65,-,-,-,-57,-77,-77,-,-,-86,-85,-86,-,-,-,-,-,-,-,-
b,-60,-43,-50,-56,-81,-84,-82,-38,-70,-52,-77,-,-,-65,-,-,-,-51,-77,-77,-75,-,-86,-85,-86,-,-,-,-,-,-,-,-
b,-67,-47,-48,-44,-81,-84,-82,-48,-68,-58,-77,-,-,-65,-,-,-,-50,-77,-77,-75,-,-,-85,-86,-,-,-,-,-,-,-,-
c,-47,-50,-47,-59,-,-,-,-41,-63,-47,-,-,-,-65,-,-,-,-49,-81,-,-75,-,-,-,-,-,-,-,-,-,-,-,-
c,-53,-42,-57,-59,-,-,-,-49,-63,-47,-,-,-,-65,-,-,-,-49,-81,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,-41,-42,-53,-59,-,-,-,-46,-65,-44,-,-,-,-65,-,-,-,-50,-81,-70,-,-,-,-,-,-,-,-,-,-,-,-,-
c,-45,-35,-63,-57,-,-,-,-38,-66,-49,-,-,-,-70,-,-,-,-55,-81,-70,-81,-,-,-,-,-,-,-,-,-,-,-,-
c,-46,-46,-53,-57,-,-,-,-50,-64,-46,-,-,-,-70,-,-,-,-43,-81,-70,-81,-,-,-,-,-,-,-,-,-,-,-,-
c,-45,-52,-62,-54,-,-,-,-45,-61,-39,-,-,-,-70,-,-,-,-43,-81,-70,-74,-,-,-,-,-,-,-,-,-,-,-,-
c,-35,-48,-57,-54,-,-,-,-41,-58,-42,-60,-,-,-61,-,-,-,-43,-71,-72,-74,-,-,-,-,-,-,-85,-,-,-,-,-
c,-46,-43,-56,-60,-,-,-,-41,-58,-42,-60,-,-,-59,-,-,-,-43,-71,-72,-77,-,-,-,-,-,-,-85,-,-,-,-,-
c,-32,-49,-59,-57,-,-,-,-48,-60,-39,-60,-,-,-60,-,-,-,-43,-74,-72,-77,-,-,-,-,-,-,-85,-,-,-,-,-
c,-32,-55,-63,-67,-,-86,-,-49,-59,-33,-74,-,-,-62,-,-,-,-,-74,-72,-77,-,-,-,-,-,-,-85,-,-,-,-,-
c,-58,-49,-57,-66,-,-86,-,-49,-58,-41,-66,-,-,-58,-,-,-,-52,-74,-59,-77,-,-,-,-,-,-,-85,-,-,-,-,-
c,-49,-54,-59,-59,-,-86,-,-49,-55,-55,-66,-,-,-62,-,-,-,-52,-74,-59,-77,-,-,-,-,-,-,-85,-,-,-,-,-
c,-44,-54,-78,-64,-,-86,-,-43,-55,-39,-66,-,-,-58,-,-,-,-52,-82,-78,-78,-,-,-,-,-,-,-,-,-,-,-,-
c,-46,-46,-60,-64,-,-86,-,-43,-60,-36,-74,-,-,-53,-,-,-,-52,-73,-71,-78,-,-,-,-,-67,-,-,-85,-,-,-,-
c,-42,-42,-67,-58,-,-86,-,-51,-54,-39,-75,-,-,-60,-,-,-,-52,-77,-76,-78,-,-,-,-,-67,-,-80,-85,-81,-,-,-
c,-52,-42,-68,-58,-,-,-,-45,-63,-47,-75,-,-,-67,-,-,-,-58,-85,-76,-78,-,-84,-,-,-67,-,-80,-85,-81,-,-,-
c,-41,-39,-59,-58,-,-,-,-46,-61,-48,-76,-,-,-67,-,-,-,-58,-85,-75,-78,-,-84,-,-87,-79,-,-80,-85,-81,-76,-,-
c,-56,-43,-59,-54,-,-,-,-52,-62,-45,-70,-,-,-71,-,-,-,-,-70,-69,-65,-,-,-,-,-69,-,-,-,-,-,-,-
c,-47,-53,-65,-57,-,-,-,-49,-55,-40,-60,-,-,-71,-,-,-,-59,-71,-72,-65,-,-,-,-,-71,-,-,-,-,-72,-,-
c,-41,-56,-59,-57,-,-,-,-53,-50,-37,-75,-,-,-58,-,-,-,-59,-73,-74,-69,-,-,-,-,-74,-,-,-,-,-72,-,-
c,-49,-54,-65,-62,-,-,-,-49,-53,-37,-67,-,-,-56,-,-,-,-59,-69,-67,-69,-,-,-,-,-67,-,-,-,-,-72,-,-
c,-48,-41,-62,-56,-,-,-,-48,-53,-44,-67,-,-,-56,-,-,-,-59,-69,-67,-69,-,-,-,-,-67,-,-,-,-,-72,-,-
c,-50,-51,-62,-55,-,-,-,-50,-60,-40,-67,-,-,-53,-,-,-,-58,-69,-78,-69,-,-,-,-,-67,-,-,-,-,-72,-84,-
c,-49,-44,-60,-68,-,-,-,-50,-52,-41,-76,-,-,-53,-,-,-,-58,-74,-77,-69,-,-,-,-,-74,-,-,-,-,-72,-84,-
c,-47,-44,-60,-59,-,-,-,-54,-56,-46,-76,-,-,-62,-84,-,-,-58,-74,-77,-,-,-,-,-,-74,-,-,-,-,-79,-84,-
d,-29,-49,-66,-59,-,-,-,-55,-61,-36,-78,-,-,-61,-84,-,-,-56,-74,-77,-,-,-,-,-,-74,-,-,-,-,-79,-,-
d,-49,-57,-66,-56,-,-,-,-49,-56,-47,-74,-,-,-58,-84,-,-,-61,-73,-67,-,-,-,-,-,-,-,-,-,-,-79,-,-
d,-46,-55,-62,-62,-,-,-,-49,-55,-47,-71,-,-,-58,-,-,-,-61,-74,-72,-,-,-,-,-,-72,-,-,-,-,-,-,-
d,-49,-56,-57,-53,-,-,-,-51,-56,-44,-71,-,-,-58,-,-,-,-61,-74,-72,-,-,-,-,-87,-72,-,-,-,-,-,-,-
d,-55,-58,-65,-62,-,-,-,-51,-68,-47,-71,-,-,-56,-,-,-,-61,-83,-83,-,-,-,-,-87,-72,-,-,-,-,-,-,-
d,-46,-54,-72,-65,-,-,-,-51,-59,-49,-79,-,-,-69,-,-,-,-61,-85,-79,-,-,-,-,-87,-72,-,-,-,-,-,-,-
d,-55,-51,-65,-62,-,-,-,-54,-59,-53,-78,-,-,-61,-,-,-,-,-85,-77,-,-,-,-,-87,-72,-,-,-,-,-,-,-
d,-59,-51,-64,-60,-,-,-,-52,-67,-58,-80,-,-,-61,-,-,-,-67,-85,-80,-73,-,-,-,-86,-,-88,-,-,-,-,-,-
d,-52,-58,-71,-62,-,-,-,-52,-60,-51,-80,-,-,-61,-,-,-,-67,-85,-80,-71,-,-,-,-86,-,-88,-,-,-,-,-,-
d,-58,-60,-59,-57,-,-,-,-62,-59,-54,-80,-,-,-61,-,-,-,-67,-85,-80,-71,-,-,-,-86,-,-88,-,-,-,-,-,-
d,-54,-54,-67,-57,-,-,-,-55,-59,-51,-77,-,-,-63,-,-,-,-67,-,-80,-71,-,-,-,-86,-,-88,-,-,-,-,-,-
d,-53,-55,-63,-57,-,-,-,-58,-67,-46,-83,-,-,-63,-,-,-,-53,-,-,-71,-,-,-,-86,-,-88,-,-,-,-,-,-
d,-52,-57,-66,-62,-,-,-,-53,-68,-52,-80,-,-,-60,-,-,-,-55,-79,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,-61,-61,-66,-53,-,-,-,-57,-60,-51,-75,-,-,-60,-,-,-,-59,-79,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,-61,-45,-53,-53,-86,-,-,-48,-72,-50,-75,-,-,-66,-,-,-,-59,-79,-,-,-,-,-87,-,-,-,-,-,-,-,-,-
d,-56,-57,-57,-53,-86,-,-,-59,-60,-56,-81,-,-,-66,-,-,-,-50,-79,-,-,-,-,-87,-,-,-,-,-,-,-,-,-
d,-51,-54,-56,-57,-86,-,-,-60,-67,-52,-81,-,-,-66,-,-,-,-50,-79,-,-76,-,-,-87,-,-,-,-,-,-,-76,-,-
d,-49,-55,-66,-49,-86,-,-,-52,-67,-54,-81,-,-,-66,-,-,-,-50,-79,-,-76,-,-,-87,-,-,-,-,-85,-,-76,-,-
d,-54,-55,-55,-52,-86,-,-,-52,-61,-54,-81,-,-,-67,-,-,-,-50,-,-,-76,-,-,-87,-,-,-,-,-85,-,-76,-,-50
